id,idClienteOrigen,idClienteDestino,idCuentaBancariaOrigen,idCuentaBancariaDestino,tipo,estado,monto,idCanal,idSede,fechaCreacion,fechaEdicion
1,0,41,0,13,2,1,100,4,0,1729518244,1729518244
2,41,0,13,0,3,1,10,4,0,1729518250,1729518250
3,0,41,0,13,2,1,200,4,0,1729519011,1729519011
4,0,41,0,13,2,1,500,3,0,1729519386,1729519386
9,41,0,13,0,3,1,50,3,0,1729519399,1729519399
15,41,0,13,0,3,1,60,3,0,1729519412,1729519412
22,41,0,13,0,3,1,100,3,0,1729519428,1729519428
30,0,41,0,13,2,1,500,3,0,1729519435,1729519435
39,41,0,13,0,3,1,100,3,0,1729519966,1729519966
40,0,41,0,13,2,1,500,3,0,1729521154,1729521154
41,41,0,13,0,3,1,400,3,0,1729521162,1729521162
42,41,0,13,0,3,1,80,3,0,1729522478,1729522478
43,41,0,13,0,3,1,500,3,0,1729523424,1729523424
44,41,0,13,0,3,1,100,3,0,1729523428,1729523428
45,0,41,0,13,2,1,200,2,0,1729523863,1729523863
46,0,41,0,13,2,1,1000,3,0,1729523911,1729523911
47,41,0,13,0,3,1,10,4,0,1729547751,1729547751
48,41,0,13,0,3,1,20,4,0,1729547756,1729547756
49,41,0,13,0,3,1,70,4,0,1729547819,1729547819
50,41,0,13,0,3,1,50,4,0,1729548227,1729548227
51,41,0,13,0,3,1,0,4,0,1729548230,1729548230
52,41,0,13,0,3,1,50,4,0,1729548684,1729548684
53,41,0,13,0,3,1,100,4,0,1729548713,1729548713
54,41,0,13,0,3,1,100,4,0,1729548866,1729548866
55,41,0,13,0,3,1,50,4,0,1729550191,1729550191
56,41,0,13,0,3,1,0,4,0,1729550196,1729550196
57,41,0,13,0,3,1,50,4,0,1729550529,1729550529
58,41,0,13,0,3,1,200,4,0,1729550543,1729550543
59,41,0,13,0,3,1,10,4,0,1729550546,1729550546
60,0,41,0,13,2,1,1000,4,0,1729550552,1729550552
61,41,0,13,0,3,1,90,4,0,1729576226,1729576226
62,41,0,13,0,3,1,100,4,0,1729576232,1729576232
63,41,12,13,4,1,1,100,4,0,1729576246,1729576246
64,41,0,13,0,3,1,0,4,0,1729576254,1729576254
65,0,42,0,14,2,1,100,4,0,1730009977,1730009977
66,42,0,14,0,3,1,10,4,0,1730009984,1730009984
67,42,12,14,4,1,1,10,4,0,1730009995,1730009995
68,42,0,14,0,3,1,0,4,0,1730010005,1730010005
69,41,12,13,4,1,1,123,2,0,1730083150,1730083150
70,41,0,13,0,3,1,10,1,1,1730090250,1730090250
71,41,0,13,0,3,1,20,1,1,1730090253,1730090253
72,0,41,0,13,2,1,20,2,0,1730911465,1730911465
73,41,12,13,4,1,1,0,2,0,1730911490,1730911490
74,0,41,0,13,2,1,10,2,0,1730911496,1730911496
75,41,0,13,0,3,1,20,2,0,1730911500,1730911500
76,0,41,0,15,2,1,296,2,0,1730928264,1730928264
77,41,0,15,0,3,1,100,2,0,1730928289,1730928289
78,41,0,15,0,3,1,100,4,0,1730929117,1730929117
79,0,41,0,16,2,1,199,2,0,1730929389,1730929389
80,0,41,0,16,2,1,200,2,0,1730929460,1730929460
81,0,41,0,16,2,1,100,2,0,1730929483,1730929483
82,41,12,16,4,1,1,12,6,5,1731625068,1731625068
83,41,12,13,4,1,1,120,2,0,1731631167,1731631167
84,41,0,15,0,3,1,12,4,0,1731632956,1731632956
85,41,0,16,0,3,1,10,3,0,1731633681,1731633681
86,0,41,0,16,2,1,600,3,0,1731633708,1731633708
87,41,0,16,0,3,1,100,0,0,1731641241,1731641241
